timestamp,commit,build,key_bits,op,rows,cols,b_cols,trials,mean_ms,min_ms,max_ms
2025-12-15T00:37:34+03:00,da9e0fc,Release,2048,decrypt,0,0,0,20,0.00025735,0.000244,0.000467
2025-12-15T00:37:34+03:00,da9e0fc,Release,2048,add,0,0,0,20,3.425e-05,3e-05,8.9e-05
2025-12-15T00:37:34+03:00,da9e0fc,Release,2048,scale,0,0,0,20,8.395e-05,7.7e-05,0.000156
2025-12-15T00:37:34+03:00,da9e0fc,Release,2048,dot_cp,256,0,0,20,0.0219403,0.018411,0.023554
2025-12-15T00:37:34+03:00,da9e0fc,Release,2048,gemv_cp,64,64,0,20,0.25632,0.251699,0.2742
2025-12-15T00:37:34+03:00,da9e0fc,Release,2048,gemm_cp,64,64,64,20,4.17464,3.505,8.88192
2025-12-15T00:45:20+03:00,da9e0fc,Release,2048,encrypt,0,0,0,20,0.0027281,0.002661,0.003028
2025-12-15T00:45:20+03:00,da9e0fc,Release,2048,decrypt,0,0,0,20,0.00025815,0.000245,0.000469
2025-12-15T00:45:20+03:00,da9e0fc,Release,2048,add,0,0,0,20,3.43e-05,3e-05,9e-05
2025-12-15T00:45:20+03:00,da9e0fc,Release,2048,scale,0,0,0,20,8.305e-05,7.9e-05,0.000141
2025-12-15T00:45:20+03:00,da9e0fc,Release,2048,dot_cp,256,0,0,20,0.0176207,0.016252,0.027006
2025-12-15T00:45:20+03:00,da9e0fc,Release,2048,gemv_cp,64,64,0,20,0.121198,0.077238,0.561538
2025-12-15T00:45:20+03:00,da9e0fc,Release,2048,gemm_cp,64,64,64,20,3.83844,3.51862,5.59437
